"homograph"	"wordid"	"sentence"	"start"	"end"
"abuse"	"abuse_nou"	"Outraged workers surveyed CPS men in other hospitals and learned of the degree of abuse throughout the psychiatric care system."	82	87
"abuse"	"abuse_nou"	"Despite periodic investigations, changes of leadership, and promises to improve, the allegations of cruelty and abuse continued."	112	117
"abuse"	"abuse_nou"	"One student pleaded guilty to second degree sexual abuse."	51	56
"abuse"	"abuse_nou"	"They do not include other factors of disadvantage such as unemployment, race, sexual orientation or abuse."	100	105
"abuse"	"abuse_nou"	"Etiological correlates of vaginismus: Sexual and physical abuse, sexual knowledge, sexual self-schema, and relationship adjustment."	58	63
"abuse"	"abuse_nou"	"Many arranged marriages also end up being cold and dysfunctional as well, with reports of abuse."	90	95
"abuse"	"abuse_nou"	"She described the abuse as ""mild inappropriate touching"", saying it occurred while she was sleeping and was ""fully clothed""."	18	23
"abuse"	"abuse_nou"	"In Ramona v. Isabella, Gary Ramona sued his daughter's therapist for implanting false memories of his abuse of her."	102	107
"abuse"	"abuse_nou"	"In 2010, more than 16,000 deaths were attributed to abuse of opioid drugs."	52	57
"abuse"	"abuse_nou"	"Compton, much like the rest of the nation, it troubled with drug abuse problems and street gang violence."	65	70
"abuse"	"abuse_nou"	"In 1934, the New York Parental School was investigated amid rumors of abuse."	70	75
"abuse"	"abuse_nou"	"He also recommended that a program of compensation be established for the victims of sexual abuse at Kingsclear (see below)."	92	97
"abuse"	"abuse_vrb"	"Richard suffers from poor health and is a recovering alcoholic, but Elizabeth continues to drink excessively and abuse prescription medication."	113	118
"abuse"	"abuse_nou"	"Thus this explanation deduced that similar abuse must have happened each time that the Bible uses the same language."	43	48
"abuse"	"abuse_nou"	"Satan's Silence: Ritual Abuse and the Making of a Modern American Witch Hunt."	24	29
"abuse"	"abuse_nou"	"They urged civilian review boards to hear complaints of police abuse, a demand that was ultimately met."	63	68
"abuse"	"abuse_nou"	"Stedman SJ, Tanner F. Refugee Manipulation: War, Politics, and the Abuse of Human Suffering."	67	72
"abuse"	"abuse_vrb"	"Frank Church Warns of How Easily Government Can Abuse Expanding Surveillance Capabilities""."	48	53
"abuse"	"abuse_nou"	"In accordance, although very rare, case reports of modafinil abuse exist."	61	66
"abuse"	"abuse_nou"	"The first video shows ten prison guards conducting physical and verbal abuse on prisoners."	71	76
"abuse"	"abuse_nou"	"Soviet psychiatric abuse: the shadow over world psychiatry."	19	24
"abuse"	"abuse_nou"	"There are allegations of torture and abuse of prisoners."	37	42
"abuse"	"abuse_nou"	"After a long struggle with drug abuse, Breau was finally sober."	32	37
"abuse"	"abuse_nou"	"There were incidences of abuse, however, with one example having been recorded in the ""Records of Officialdom""."	25	30
"abuse"	"abuse_nou"	"In adoptive homes, child neglect and abuse and even divorce between the parents is uncommon."	37	42
"abuse"	"abuse_nou"	"Medical examinations revealed many fissures along Haru's leg bones, due to Fuji's habitual abuse."	91	96
"abuse"	"abuse_nou"	"But I will reject abuse and all that it stands for,"" adding, ""."	18	23
"abuse"	"abuse_nou"	"One commentator suggested it was part of a pattern of sexual abuse of prisoners."	61	66
"abuse"	"abuse_nou"	"They also participate in events such as the World Elder Abuse Awareness Day."	56	61
"abuse"	"abuse_nou"	"Because of their potential for abuse, sweepstakes are heavily regulated in many countries."	31	36
"abuse"	"abuse_vrb"	"Litigants, attorneys, law enforcement and judiciary can abuse the system, sometimes accidentally but more often intentionally."	56	61
"abuse"	"abuse_nou"	"The second victim denied physical abuse, but witnessed the physical abuse inflicted upon the other victim."	68	73
