"homograph"	"wordid"	"sentence"	"start"	"end"
"conglomerate"	"conglomerate_adj-nou"	"It is part of the Gruppo Editoriale L'Espresso media conglomerate."	53	65
"conglomerate"	"conglomerate_adj-nou"	"The Bargy Conglomerate is a geologic formation in France."	10	22
"conglomerate"	"conglomerate_adj-nou"	"Today the city is the headquarters of the copper conglomerate Kazakhmys, the city's main employer."	49	61
"conglomerate"	"conglomerate_adj-nou"	"In New Jersey, feldspar pebbly sandstone and conglomerate, and quartz-pebble conglomerate are also mapped."	77	89
"conglomerate"	"conglomerate_adj-nou"	"The sedimentary rocks in the vicinity of the thermal springs consist of shale, chert, novaculite, sandstone, and conglomerate."	113	125
"conglomerate"	"conglomerate_adj-nou"	"He is one of the founding members of the production team The Conglomerate (aka The Conglomm)."	61	73
"conglomerate"	"conglomerate_adj-nou"	"He is the president of ""UAI"" which is a conglomerate of munitions industries."	40	52
"conglomerate"	"conglomerate_adj-nou"	"Shingo Takemoto was the president of the new company which distributed its products through porn conglomerate Soft On Demand."	97	109
"conglomerate"	"conglomerate_adj-nou"	"Pechiney SA was a major aluminium conglomerate based in France."	34	46
"conglomerate"	"conglomerate_adj-nou"	"Shevell is vice-president of a family-owned transportation conglomerate which owns New England Motor Freight."	59	71
"conglomerate"	"conglomerate_adj-nou"	"Armada Asset Management, LLC is a business conglomerate holding company providing asset management services, consulting, and threat reduction/security services."	43	55
"conglomerate"	"conglomerate_adj-nou"	"He founded the chain of newspapers that continues today as Cox Enterprises, a media conglomerate."	84	96
"conglomerate"	"conglomerate_adj-nou"	"On phytosaurian remains from the Magnesian Conglomerate of Bristol (Rileya platyodon)."	43	55
"conglomerate"	"conglomerate_adj-nou"	"The company began by selling broadcast rights from Paramount Pictures to the Mediaset media conglomerate."	92	104
"conglomerate"	"conglomerate_adj-nou"	"Muscat is home to multibillion-dollar conglomerate Ck Industries with their headquarters located in Ruwi."	38	50
"conglomerate"	"conglomerate_adj-nou"	"Union was part of the Vestey, a British pastoral conglomerate owned by Lord Vestey."	49	61
"conglomerate"	"conglomerate_adj-nou"	"Further upstream, there is alluvium, Wisconsinan Ice-Contact Stratified Drift, and bedrock consisting of coal, conglomerate, sandstone, and shale."	111	123
"conglomerate"	"conglomerate_adj-nou"	"In 2002, Kozel merged with the brewery Radegast and the Pilsner Urquell brewery conglomerate SABMiller."	80	92
"conglomerate"	"conglomerate_adj-nou"	"Diller is currently the CEO of the Internet conglomerate IAC/InterActiveCorp."	44	56
"conglomerate"	"conglomerate_adj-nou"	"The Udin Woods is a glacial remnant, as shown by its gravelly or conglomerate composition."	65	77
"conglomerate"	"conglomerate_adj-nou"	"Today, the rushing water flows over a shale riverbed, between ledges made of Sharon conglomerate sandstone."	84	96
"conglomerate"	"conglomerate_adj-nou"	"He is currently the president and chief executive officer of the Nigerian conglomerate, Transnational Corporation of Nigeria Plc (Transcorp Plc)."	74	86
"conglomerate"	"conglomerate_adj-nou"	"In this way sand becomes ""sandstone"", and gravel becomes ""conglomerate"" or ""breccia""."	58	70
"conglomerate"	"conglomerate_adj-nou"	"The Vidya Bharti Education Trust is a conglomerate of educational institutions."	38	50
"conglomerate"	"conglomerate_adj-nou"	"The Libra Group, aka Libra Holdings, is a privately held international conglomerate operating in a variety of industries."	71	83
"conglomerate"	"conglomerate_adj-nou"	"In this book he discussed his experiences directing a large multi-national conglomerate."	75	87
"conglomerate"	"conglomerate_adj-nou"	"His entertainment conglomerate was composed of 92 different business units by 1969."	18	30
"conglomerate"	"conglomerate_adj-nou"	"In June 2016, the Antonov Corporation merged with the state-owned military conglomerate UkrOboronProm, forming Ukrainian Aircraft Corporation within its structure."	75	87
"conglomerate"	"conglomerate_adj-nou"	"Viacom Inc. (originally an initialism of Video & Audio Communications) was an American media conglomerate."	93	105
"conglomerate"	"conglomerate_adj-nou"	"In 1990, Time Inc. merged with Warner Communications to form the media conglomerate Time Warner."	71	83
"conglomerate"	"conglomerate_adj-nou"	"His work centers on managing his family's conglomerate, the Santo Domingo Group."	42	54
"conglomerate"	"conglomerate_adj-nou"	"The Formation is made up of over 5000 feet (1500 m) of mudstone, siltstone, and conglomerate."	80	92
"conglomerate"	"conglomerate_adj-nou"	"Conglomerate masses can also develop in sarcoidosis, but usually near the hilae and with surrounding paracitricial emphysema."	0	12
"conglomerate"	"conglomerate_adj-nou"	"Locally abundant siltstone, conglomerate, and intraformational breccia can also be seen in this member."	28	40
"conglomerate"	"conglomerate_adj-nou"	"Amsterdam is part of the conglomerate metropolitan area Randstad, with a total population of 6,659,300 inhabitants."	25	37
"conglomerate"	"conglomerate_adj-nou"	"Among its holdings, the international mining conglomerate owned Société Le Nickel (SLN) in New Caledonia."	45	57
"conglomerate"	"conglomerate_adj-nou"	"In 1999 French luxury goods conglomerate LVMH bought nearly 100 percent of the Swiss company."	28	40
"conglomerate"	"conglomerate_adj-nou"	"Sapat Group, also known as Sapat, is a diversified corporate conglomerate headquartered in Mumbai, India."	61	73
"conglomerate"	"conglomerate_adj-nou"	"The brand was bought over by Hong Kong-based conglomerate Li & Fung in 2012."	45	57
"conglomerate"	"conglomerate_adj-nou"	"Since 2001, Technicolor has been part of the French-headquartered electronics and media conglomerate Thomson."	88	100
"conglomerate"	"conglomerate_adj-nou"	"The lower consists of a Doric colonnade of conglomerate stone, with an orthodox classical entablature formed of triglyphs and metopes."	43	55
"conglomerate"	"conglomerate_adj-nou"	"Action Group is an industrial conglomerate and manufacturer of the Action Shoes brand."	30	42
"conglomerate"	"conglomerate_adj-nou"	"North of the town centre is Kamnitnik Hill (414 metres or 1,358 feet high), known for its conglomerate rock."	90	102
"conglomerate"	"conglomerate_adj-nou"	"Since 1926, the BEST has been sourcing its power from Tata Power, part of the Tata Group conglomerate."	89	101
"conglomerate"	"conglomerate_adj-nou"	"ELQ (Edward Louis Quartermaine Industries/Enterprises/International) is a multinational conglomerate headquartered in Port Charles."	88	100
"conglomerate"	"conglomerate_adj-nou"	"It consists of layers of conglomerate, sandstone, claystone and gypsum, partly covered with modern fill."	25	37
"conglomerate"	"conglomerate_adj-nou"	"The company is a member of Ignite Media Group, a Macau-based media conglomerate."	67	79
"conglomerate"	"conglomerate_adj-nou"	"TavanBogd Group is a privately owned Mongolian conglomerate, owning and operating subsidiaries in multiple business sectors."	47	59
"conglomerate"	"conglomerate_adj-nou"	"Chinese conglomerate Dalian Wanda Group has owned the company since 2013."	8	20
"conglomerate"	"conglomerate_adj-nou"	"The Matemateaonga Formation (7-5 Ma) consists of shellbeds, siltstones and sandstones with interbedded conglomerate."	103	115
"conglomerate"	"conglomerate_adj-nou"	"IG Farben was a German chemical and pharmaceutical industry conglomerate."	60	72
"conglomerate"	"conglomerate_adj-nou"	"The Casma Group include the following lithologies: gypsum, limestone, marl, tuff, lava flows, sandstone and conglomerate."	108	120
"conglomerate"	"conglomerate_adj-nou"	"When the conglomerate split into several parts in 1999, Chung Mong-koo took over the Hyundai Motor division."	9	21
"conglomerate"	"conglomerate_adj-nou"	"In early 2007, the Portuguese conglomerate, Sonae's takeover offer for Portugal Telecom failed."	30	42
"conglomerate"	"conglomerate_adj-nou"	"Hong Leong Financial Group Berhad (MYX: 1082) is a conglomerate based in Malaysia."	51	63
"conglomerate"	"conglomerate_adj-nou"	"I&M Holdings Limited, also I&M Bank Group, is a conglomerate comprising financial service providers (banks and an insurance company)."	48	60
"conglomerate"	"conglomerate_adj-nou"	"Reek da Villian left Flipmode in 2009, but because of business reasons, he then headed to the Conglomerate, as well."	94	106
"conglomerate"	"conglomerate_adj-nou"	"This was followed by the Radfords Creek Group which has a base of a conglomerate of chert and basalt fragments."	68	80
"conglomerate"	"conglomerate_adj-nou"	"In 2007, Mooks was acquired by the Pacific Brands conglomerate from Globe International."	50	62
"conglomerate"	"conglomerate_adj-nou"	"BGFIBank Group is a large financial services conglomerate in Central, West and East Africa, with subsidiaries in ten (10) countries."	45	57
"conglomerate"	"conglomerate_adj-nou"	"The company traces its roots to the Mitsubishi conglomerate founded by Yataro Iwasaki."	47	59
"conglomerate"	"conglomerate_adj-nou"	"In 1988 the company sold its partial ownership in Royal Caribbean Cruise Line and bought the conglomerate Kosmos."	93	105
"conglomerate"	"conglomerate_adj-nou"	"The conglomerate was derived from the highlands of the uplifted Tyennan Block and is up to 1500 meters thick."	4	16
"conglomerate"	"conglomerate_adj-nou"	"Unitrin, Inc. was founded in April 1990 when it was spun off from Henry Singleton's conglomerate Teledyne."	84	96
"conglomerate"	"conglomerate_adj-nou"	"This conglomerate would later be known as Media General."	5	17
