"homograph"	"wordid"	"sentence"	"start"	"end"
"record"	"record_nou"	"There were a record 15 entries for the Championship."	13	19
"record"	"record_nou"	"When Xiaomi releases their new items, they make the shortest time record every time they sell the new item."	66	72
"record"	"record_vrb"	"Muntz and Friedman, both Holocaust survivors, to record his work and daily life at the hospital."	49	55
"record"	"record_nou"	"Scott Yanow of Allmusic stated, ""Sonny Stitt and Red Holloway make a perfect team on this exciting jam session record."	111	117
"record"	"record_nou"	"The 42 point margin of victory is a bowl game record."	46	52
"record"	"record_nou"	"His season included a 41-possession game against reigning premiers Hawthorn, a record for an AFL match at the Adelaide Oval."	79	85
"record"	"record_nou"	"The winning time 1:11.0 was a new course record for a two-year-old."	41	47
"record"	"record_nou"	"Additionally, a record was made in late 2008."	16	22
"record"	"record_nou"	"They hold the record of winning four Senior Championships in a row in 1962, 63, 64 and 65."	14	20
"record"	"record_vrb"	"In 2012 Nate teamed up with Manchester duo HeavyFeet to record the hit single ""Back Foot""."	56	62
"record"	"record_nou"	"In 2000, Slovenian record label Taped Pictures released a various artists compilation featuring the band's song ""Mala, mala""."	19	25
"record"	"record_nou"	"Kotecha said that he was involved in the ""early stages"" of producing the record."	73	79
"record"	"record_nou"	"The earliest surviving record referring to Germani is Julius Caesar's account of the Gallic War, the ""Commentarii de Bello Gallico""."	23	29
"record"	"record_nou"	"The Yale Record documented the creation of the first American football championship."	9	15
"record"	"record_nou"	"Reginald first appears in the historical record around 1138 when he was a witness on some of his father's charters."	41	47
"record"	"record_nou"	"The album is his first release on Blue Swan Records since departing with his previous record label Equal Vision Records."	86	92
"record"	"record_vrb"	"The band then later returned to Sticky Studios to record their first full album This Life."	50	56
"record"	"record_nou"	"The 1996 Florida Marlins season began with the team trying to improve on their record from 1995."	79	85
"record"	"record_nou"	"One of the first British athletes to throw the discus, he set a British record in 1908."	72	78
"record"	"record_nou"	"Lame-O Records is an independent record label based in Philadelphia, Pennsylvania."	33	39
"record"	"record_nou"	"By comparison, 423,000 km (262,840 mi) of countryside highways were built or upgraded in 2007, a record high."	97	103
"record"	"record_nou"	"Holland broke the team record on September 26 with his save against the Chicago White Sox."	23	29
"record"	"record_nou"	"In 1958, he recorded a rockabilly record, ""The New Raunchy""/""I'll Get by Somehow"" for Decca under the name Shady Wall."	34	40
"record"	"record_nou"	"In 2002, Sammel released a remastered version in CD and 10"" (25 cm) vinyl record (LP), catalogue number 0650410."	74	80
"record"	"record_nou"	"She kept a careful record of who had paid and totted it up at the end of each term."	19	25
"record"	"record_nou"	"HIM got also a gold record in the USA in 2006."	20	26
"record"	"record_nou"	"He also runs Ecstatic Yod, a record label and shop based in Florence, Massachusetts."	29	35
"record"	"record_nou"	"During the 1911 football season Baker scored 92 points, a school record that lasted until 1974."	65	71
"record"	"record_nou"	"Both versions were released on Lynn's record label, Logan Lynn Music."	38	44
"record"	"record_nou"	"In the final he set a new Olympic record with 21.6 seconds."	34	40
"record"	"record_nou"	"His 144 points last season broke the record of 138 that he had set the previous season."	37	43
"record"	"record_nou"	"The fastest lap time gets captured for the record book just like in the other modes of the game."	43	49
"record"	"record_nou"	"In 2006, the record label behind their US presence, What Are Records?"	13	19
"record"	"record_nou"	"To the Nines peaked at number 36 on the Tracklisten, the Danish top 40 record chart."	71	77
"record"	"record_nou"	"We're already getting more radio play than the whole of the last record."""	65	71
"record"	"record_nou"	"Since the release of his mixtape, the record has been downloaded over one million times."	38	44
"record"	"record_nou"	"The single was released on limited edition vinyl and as a digital download on London based independent record label 'Tape'."	103	109
"record"	"record_nou"	"Rogers held the record until 2003, when then 70-year-old Willie Nelson became the oldest artist to have a No."	16	22
"record"	"record_vrb"	"They record annually at Mitch Easter's Fidelitorium in North Carolina."	5	11
"record"	"record_nou"	"For the 2016-17 school year, Pennsylvania increased its public education spending to a record high of $5,895 billion."	87	93
"record"	"record_nou"	"His 1,186 receiving yards in 1998 stands as the Southern Mississippi single-season receiving yardage record."	101	107
"record"	"record_nou"	"She holds the Canadian national record in the butterfly over the 50 m in the short course."	32	38
"record"	"record_nou"	"Velocity of Sound is a record label formed in Pittsburgh, Pennsylvania, USA in 1999 by Darren Little and Todd Stoll."	23	29
